Themes + Assets;Rank;Year;Consensus Thesis;Tesis Ex Post
PRIVATE MARKETS;38;2024;In 2024, private markets present a compelling opportunity set, particularly in private credit, secondary private equity, and select real assets. Private credit is expected to gain lending share as banks retreat, offering attractive returns relative to credit risk, with strategic return estimates for private equity reaching 19.5% and hedge funds 11.5%. Direct lending’s floating-rate nature and favorable terms support income generation, while distressed credit strategies may benefit from modest default rates. However, risks include potential early economic deterioration impacting credit markets and sector-specific challenges in commercial real estate. Investors should consider diversified exposure across private credit, secondaries, and real assets to balance income, diversification, and downside protection amid evolving market conditions.;Private markets continued their expansion in 2024, consolidating themselves as an essential part of institutional portfolios. Private credit was the most dynamic segment, capturing market share from traditional banking in the financing of medium-sized companies, thanks to its flexibility and speed of execution. Private equity faced a more complex environment for exits due to the valuation gap between buyers and sellers, although fundraising activity remained solid for managers with better track records. Infrastructure and real assets attracted increasing interest as a hedge against inflation and for their stable cash flows. The democratization of private markets advanced with the launch of new products aimed at high-net-worth retail investors. Despite higher financing costs, private markets demonstrated resilience, supported by the large amount of 'dry powder' (uninvested capital) available. The year closed with an industry that adapts to a higher-rate environment, prioritizing operational value creation in portfolio companies over simple financial leverage.
HEDGE FUNDS;39;2024;In 2024, hedge funds are positioned to enhance portfolio diversification and return potential amid evolving market conditions. Strategic return estimates for hedge funds have risen to 11.5%, with private equity reaching 19.5%, reflecting robust opportunities across alternative assets. Real assets, including private infrastructure and timber, alongside commodity strategies, may provide effective shelter when traditional equities and bonds underperform. Within hedge funds, diversified and hedged equity strategies, as well as distressed credit and global macro approaches, offer non-correlated sources of return. However, investors should remain mindful of elevated market volatility and potential liquidity constraints. A balanced allocation to these strategies can help mitigate downside risks while capturing upside in a complex macro environment.;The hedge fund industry had a solid performance in 2024, benefiting from greater dispersion in the markets and the return of volatility in certain periods. Global macro and relative value strategies were especially successful in navigating changes in central bank policies and currency fluctuations. Equity long/short funds managed to capture the rise in the technology sector while protecting portfolios during occasional corrections. Merger and acquisition arbitrage experienced a recovery as M&A activity reactivated after a weak 2023. Institutional investors maintained their confidence in hedge funds as a tool to obtain returns decoupled from traditional indices and to manage tail risk. Consolidation in the industry continued, with large multi-strategy firms attracting most of the capital flows and talent. The year concluded with hedge funds demonstrating their ability to generate alpha in a complex and changing macroeconomic environment, reaffirming their role in the architecture of modern investment portfolios.
RISKS;40;2024;In 2024, markets face elevated geopolitical tensions, particularly from developed economies, alongside a modest 20-30% probability of a global recession by mid-2025. Oil prices are expected to average near $88 per barrel, with downside risks from US shale growth and OPEC+ cohesion. Inflation pressures remain sticky, complicating central bank policy and potentially delaying rate cuts. Equity valuations appear vulnerable amid slowing nominal GDP growth, with downside skewed risks to earnings and credit defaults. Investors should consider diversified portfolios emphasizing quality US equities, duration exposure, and strategic gold allocations to hedge against inflation and geopolitical volatility. Political events, including the US presidential election, add further event risk but also medium-term opportunities.;The risk landscape in 2024 was dense and varied, forcing investors to maintain constant vigilance. Geopolitical risk topped the list, with conflicts in the Middle East and Ukraine posing threats of escalation and shocks in energy prices. Inflation risk, although it decreased, persisted in the form of a possible 'last mile' that was difficult for central banks to travel. Political risk was prominent due to the intense electoral calendar, especially in the US, where possible tariff and fiscal policies generated uncertainty about global trade. Risks linked to financial stability also emerged, given the pressure of high rates on the commercial real estate sector and emerging market debt. However, many of the most feared risks, such as a deep recession or a collapse of the credit system, did not materialize. Cybersecurity and risks associated with artificial intelligence gained relevance on the corporate agenda. The year closed with the lesson that economic resilience and diversification remain the best tools to navigate a world where risks are increasingly interconnected and global.
RALLY;41;2024;The base case for 2024 envisions a moderate global equity rally, with the S&P 500 reaching approximately 4,700 by year-end, supported by 3-5% earnings growth and a soft landing in the US economy. While US equities, led by resilient sectors such as AI-driven technology, are expected to maintain leadership, emerging markets may gain relative strength in the second half. Bond yields are likely to stabilize rather than decline sharply, with reduced bond market volatility underpinning risk appetite. Key risks include recession developments, yield curve shifts, and commodity signals like the copper/gold ratio. Investors should consider diversified equity exposure, including options strategies to navigate anticipated volatility, while monitoring macro indicators for potential shifts in market leadership.;The financial market rally in 2024 exceeded the most optimistic expectations, becoming one of the most profitable years of the decade for equities. What began as a movement led exclusively by large technology companies linked to AI, ended up broadening to a wide variety of sectors and geographies as confidence in the soft landing consolidated. The S&P 500 reached dozens of new all-time highs, driven by robust corporate earnings and the prospect of a monetary easing cycle. Credit markets also participated in the rally, with a compression of spreads that reflected a strong appetite for risk. Investor sentiment shifted from fear of recession to fear of missing out (FOMO), which sustained valuations even at demanding levels. Despite occasional profit-taking, every correction was seen as a buying opportunity. The year concluded with an euphoric tone, supported by the ideal combination of economic growth, falling inflation, and central bank support, leaving the markets in a position of strength to face the challenges of the new year.
BASE CASE;1;2025;The base case for 2025 anticipates moderate global growth around 2.5-3.0%, led by a resilient US economy with GDP growth near 2.5-3.25%, supported by easing monetary policy and fiscal stimulus. Inflation is expected to ease toward 2%, enabling central banks to cut rates gradually, with the US dollar modestly weaker by 2-3%. Equity markets, particularly US large caps and cyclical sectors, are likely to outperform amid broadening earnings growth. Key risks include trade tensions, tariff impacts on Europe and Asia, and geopolitical uncertainties that could increase volatility. Investors should maintain balanced portfolios with a slight overweight in risk assets, emphasizing quality and diversification to navigate potential policy shifts and uneven global recovery.;The 2025 base case of moderate growth and easing inflation largely played out, though volatility spiked due to trade tensions and tariff announcements. The US economy grew by approximately 2.0%, slightly below the more optimistic initial forecasts but still demonstrating significant resilience. Inflation remained a persistent concern, with the PCE price index climbing to approximately 2.7% by year-end, partly driven by the pass-through effects of new tariff regimes. Despite these headwinds, the Federal Reserve continued its easing cycle, implementing three 25-basis-point cuts to bring the federal funds rate to a range of 3.50%-3.75% by December. Equity markets, particularly in the US, posted double-digit gains, with the S&P 500 rising approximately 17.9%, again powered by the AI trade and resilient corporate earnings. The year concluded with a complex macroeconomic landscape where fiscal expansion and trade protectionism balanced against monetary easing and technological innovation, validating the need for quality-focused and diversified investment strategies.
GROWTH;2;2025;The global economy is expected to grow moderately in 2025, with consensus GDP forecasts around 2.3%-2.5% for the US, 0.7%-1.3% for Europe, and 4.1%-4.8% for China. The US is likely to maintain above-trend growth near 2.5%, supported by fiscal stimulus and easing monetary policy, while Europe faces subdued growth amid geopolitical and trade uncertainties, with ECB rate cuts anticipated. China’s growth will stabilize but remain below government targets due to structural challenges and trade tensions. Key risks include the impact of US tariffs, inflation persistence, and political uncertainty in Europe. Investors should position for steady growth with a focus on US and select Asian markets, while remaining cautious on Europe and emerging markets.;Global economic growth in 2025 was characterized by a sturdy yet uneven performance across major regions. The US economy maintained its role as a primary engine, growing at a rate of approximately 2.0%, which, while lower than the 2024 pace, exceeded many early-year pessimistic forecasts. This resilience was supported by strong consumer spending and an ongoing investment boom in artificial intelligence. In contrast, Europe faced more significant challenges, with growth in the Eurozone hovering around 0.8% due to structural weaknesses and the uncertainty surrounding global trade policies. China's economy showed signs of stabilization, recording a growth rate of approximately 5.0%, aided by targeted government stimulus measures aimed at offsetting the continued drag from the property sector. Overall, global GDP growth for 2025 settled near 2.6%, reflecting a world economy that managed to navigate high interest rates and geopolitical shifts without falling into a synchronized downturn, although the divergence between the US and other developed markets remained a defining feature.
INFLATION;3;2025;The base case for 2025 anticipates US inflation moderating but remaining elevated, with core PCE inflation expected between 2.3% and 2.75%. Tariffs, tighter immigration policies, and deregulation are likely to sustain upward pressure, offsetting disinflationary forces from housing and labor market easing. The Federal Reserve is projected to maintain rates near 4.25%-4.5% by year-end, reflecting a cautious stance amid persistent inflation risks. While some institutions foresee inflation peaking near 3.2%, others expect a range-bound environment around 2.5%. Key uncertainties include the scale and duration of tariff impacts and potential shifts in fiscal policy. Investors should prepare for a higher-for-longer inflation regime, favoring assets resilient to moderate inflation and cautious on rate-sensitive sectors.;Inflation remained a central theme for markets in 2025, proving to be more persistent than many analysts had hoped at the start of the year. In the United States, the PCE price inflation index ended the year at approximately 2.7%, reflecting upward pressure from several sources. The imposition of new tariffs on a wide range of imports contributed to higher goods prices, while the services sector continued to see wage-driven price increases. Despite these inflationary headwinds, the overall trend remained lower than the peaks seen in previous years, allowing the Federal Reserve to proceed with a cautious easing of monetary policy. In Europe, the disinflation process was somewhat more pronounced, with headline inflation nearing the 2% target, which prompted more aggressive rate cuts from the ECB. Globally, the inflationary environment in 2025 was marked by the tension between structural forces like deglobalization and technological deflation from AI, resulting in a 'higher-for-longer' price regime that required investors to remain vigilant about real returns and inflation-hedging strategies.
MONETARY POLICY;4;2025;In 2025, major central banks are expected to continue a cautious easing cycle amid moderating inflation and growth concerns. The Federal Reserve is likely to reduce the fed funds rate gradually to around 3.75%-4.0% by year-end, with 2-4 cuts anticipated, reflecting persistent inflation risks and fiscal policy uncertainties. The ECB is projected to cut rates more aggressively, targeting a deposit rate near 1.5%-2.0%, while the BOE will ease more gradually to approximately 3.5%-4.0%. The Bank of Japan stands apart, with policy rates expected to rise toward 0.75%-1.0% amid domestic wage pressures. Key risks include inflationary surprises from tariffs and fiscal shifts, which could slow or reverse easing. Investors should position for a differentiated rate environment, favoring selective duration and credit strategies.;Monetary policy in 2025 was defined by a shift toward gradual normalization as central banks navigated the delicate balance between supporting growth and containing persistent inflation. The US Federal Reserve led the way with a measured easing cycle, cutting the federal funds rate three times by 25 basis points each, ending the year in the 3.50%-3.75% range. This cautious approach reflected the Fed's concern over the inflationary impact of new fiscal and trade policies. Meanwhile, the European Central Bank acted more decisively, implementing four rate cuts as the Eurozone's growth remained weak and inflation converged more quickly toward its target. In sharp contrast, the Bank of Japan continued its path of policy normalization, raising its benchmark rate toward 0.75% to combat domestic inflationary pressures and support the yen. The divergence in global monetary paths created significant opportunities in currency and fixed-income markets, while the overall reduction in borrowing costs provided a supportive backdrop for risk assets, even as real rates remained historically elevated compared to the previous decade.
FISCAL;5;2025;In 2025, global fiscal policies are expected to remain moderately accommodative, with key economies like the US running deficits around 6-7% of GDP and Germany easing toward a 3% deficit target. The US is likely to see incremental fiscal stimulus through corporate tax cuts and extensions of prior tax provisions, supporting business investment and corporate profits. While bond yields may rise if fiscal expansion intensifies, a moderate deficit increase coupled with ongoing central bank rate cuts—such as the Fed’s anticipated two reductions early in the year—should sustain growth and equity markets. Risks include rising debt servicing costs if interest rates stay elevated and potential volatility from geopolitical tensions and trade policies. Investors should favor balanced exposure to equities with attention to duration amid evolving fiscal dynamics.;Fiscal policy remained highly expansive in 2025, particularly in the United States, where the budget deficit continued to run at approximately 6-7% of GDP. The year was marked by intense debates over the long-term sustainability of this spending, especially as interest payments on the national debt became an increasingly large portion of the federal budget. The implementation of new tariff regimes provided a new source of revenue, but also raised questions about their impact on overall economic activity and trade relations. In Europe, fiscal policy was more constrained as countries sought to adhere to the reinstated EU fiscal rules, leading to a more restrictive stance that weighed on regional growth. China, on the other hand, utilized its fiscal space to provide targeted support to its struggling property sector and to promote high-tech manufacturing. The global fiscal landscape in 2025 underscored the growing reliance on government spending to drive growth, which in turn kept upward pressure on long-term bond yields and contributed to the 'higher-for-longer' interest rate environment that characterized the year.
TARIFFS;6;2025;The base case for 2025 anticipates a significant increase in US tariffs, including a 5%-10% universal baseline and up to 40% on select Chinese imports, contributing to moderately higher inflation and a stronger US dollar. While tariffs may initially boost industrial production and domestic reshoring, they are expected to weigh on global trade and US growth, potentially reducing GDP by around 0.3% in 2025 with risks of larger impacts in 2026. Market volatility may rise as investors navigate policy uncertainty, but tariff-driven inflation shocks are likely to be short-lived, with a 40% probability of more disruptive tariff escalation. Investors should position for elevated inflation and interest rates, balanced against potential fiscal easing and deregulation supporting US risk assets.;The imposition of new and significant tariffs was one of the most disruptive economic events of 2025, fundamentally altering global trade dynamics. The US government implemented a universal baseline tariff along with targeted increases on Chinese imports, aiming to protect domestic industries and reduce the trade deficit. These measures had a measurable impact on the economy, contributing approximately 0.3 to 0.5 percentage points to US PCE inflation as companies passed on higher costs to consumers. While some sectors benefited from reduced foreign competition and a push for reshoring, the overall effect was a slight dampening of GDP growth and increased supply chain complexity. Global trade partners responded with retaliatory measures, leading to a more fragmented international trading system. For investors, the 'tariff trade' became a key driver of market volatility, favoring domestic-oriented US companies over those with high international exposure. The long-term structural shift toward protectionism suggested that the era of low-cost global sourcing was giving way to a more costly and localized production model.
STOCKS;7;2025;For 2025, institutional consensus anticipates moderate gains in global equities, led by the US with the S&P 500 targeted between 6,500 and 7,000, reflecting 5-10% upside supported by earnings growth of approximately 9-15%. Broad-based earnings expansion, aided by easing monetary policy and business-friendly regulations, underpin this outlook. Investors should expect increased dispersion across sectors and regions, favoring small- and mid-cap stocks, cyclicals, and value-oriented sectors amid a rotation away from mega-cap tech concentration. Key risks include elevated valuations, potential tariff escalations, geopolitical uncertainties, and policy execution challenges. A balanced approach emphasizing sector allocation, geographic diversification with selective exposure to Japan and the UK, and readiness for volatility is recommended to capture opportunities while managing downside risks.;US equity markets delivered another year of impressive performance in 2025, defying concerns about high valuations and geopolitical uncertainty. The S&P 500 posted a total return of approximately 17.9%, marking the third consecutive year of double-digit gains. This rally was once again spearheaded by the technology sector, particularly companies at the forefront of the artificial intelligence revolution, which continued to report robust earnings growth and expanding profit margins. However, the market also saw a healthy broadening of participation, as easing interest rates and resilient economic growth supported cyclical and value-oriented sectors like financials and industrials. Small-cap stocks also experienced a resurgence as borrowing costs declined. In contrast, international equity markets lagged behind the US, with European and emerging market stocks struggling against the headwinds of a stronger dollar and trade tensions. The year 2025 proved that the combination of technological innovation and monetary easing could sustain a powerful bull market, even in the face of significant structural shifts in the global economy.
BONDS;8;2025;The 2025 bond market is expected to offer attractive income opportunities, with the 10-year U.S. Treasury yield forecast to trade in a range of approximately 3.75% to 4.75%, reflecting anticipated Fed rate cuts totaling 75 to 100 basis points by year-end. Yield curves are likely to steepen as short-term rates decline faster than long-term yields, particularly in the US and Europe, where Bund yields may settle around 2.2% to 2.5%. Investors should maintain a balanced duration stance, favoring intermediate maturities and selective credit exposure, while monitoring risks from fiscal deficits, inflation volatility, and geopolitical uncertainties that could drive yield spikes or curve shifts. Diversification across geographies and sectors remains prudent to capture income and manage reinvestment risk.;The bond market in 2025 was characterized by significant volatility as investors navigated the crosscurrents of Federal Reserve rate cuts and shifting inflation expectations. The 10-year US Treasury yield spent much of the year trading in a wide range between 3.75% and 4.75%, ultimately settling near the middle of that range as the market balanced the impact of monetary easing against the inflationary risks posed by expansive fiscal and trade policies. The yield curve began to un-invert more decisively, with short-term rates falling faster than long-term yields in response to the Fed's three 25-basis-point cuts. This environment provided attractive total returns for fixed-income investors, particularly in intermediate maturities and high-quality corporate credit. However, the persistence of the term premium and concerns over the growing US deficit prevented a more significant decline in long-term rates. For bondholders, 2025 was a year where active duration management and a focus on yield-carry strategies were essential to navigate the frequent shifts in market sentiment and policy outlook.
CREDIT;9;2025;For 2025, investment-grade credit with intermediate maturities offers a base case total return of 6–7.5%, supported by expected 50 basis point rate cuts and steady economic growth. Eurozone investment-grade credit appears more attractive, with spreads near the 20-year median, while US high-yield bonds, particularly short-duration segments, provide yields around 5% amid strong fundamentals. Elevated yields and healthy corporate balance sheets underpin income generation, but tight spreads limit upside, suggesting a total yield story rather than spread compression. Key risks include potential spread widening due to geopolitical tensions, fiscal deficits, and a possible rise in defaults, especially in lower-quality credits. Investors should prioritize quality, diversify across securitized and private credit, and maintain a neutral duration stance to navigate volatility.;Credit markets remained remarkably stable in 2025, with corporate fundamentals holding up well despite the challenges of higher financing costs and a shifting trade landscape. Investment-grade credit spreads remained relatively tight, reflecting strong investor demand for yield and confidence in the solvency of large-cap corporations. The high-yield market also performed better than expected, as the feared wave of defaults failed to materialize, thanks to the resilient US economy and the ability of many firms to pass on higher costs to consumers. Total returns for credit investors were supported by both the income component and the modest decline in benchmark rates. However, the market showed increasing signs of tiering, with lower-quality issuers facing greater pressure as they sought to refinance debt at higher rates. Private credit continued to gain market share from traditional banks, providing a crucial source of funding for mid-sized companies. Overall, 2025 was a year where credit provided a reliable source of income, but the tight spreads suggested that investors were being paid primarily for carry rather than for further capital appreciation from spread compression.
COMMODITIES;10;2025;In 2025, commodities face a mixed outlook amid a stronger US dollar and moderate global growth. Gold is expected to deliver modest gains, supported by ongoing central bank purchases and geopolitical risks, with prices likely ranging between $2,900 and $3,000 per ounce. Oil markets remain oversupplied, with Brent crude forecasted to trade in a $65-$75 per barrel range, reflecting subdued demand and ample Saudi capacity. Base and industrial metals may experience volatility due to tariff uncertainties and uneven economic momentum, though infrastructure demand offers some support. Key risks include geopolitical escalation in the Middle East and shifts in US energy policy. Investors should consider a diversified commodity basket emphasizing inflation hedges and selective exposure to base metals.;"The year 2025 was a historic one for the commodities market, particularly for precious and industrial metals. Gold emerged as a standout performer, surging over 60% to reach fresh all-time highs above $3,000 per ounce, driven by its status as a hedge against inflation and geopolitical uncertainty, as well as continued heavy buying by global central banks. Silver followed suit with an even more dramatic rise of over 146%, benefiting from both precious metal momentum and its increasing use in green energy technologies. Copper also saw significant gains, rising nearly 40% as the global push for electrification and AI-driven data center infrastructure fueled demand. In contrast, the energy sector was more subdued; Brent crude oil prices remained relatively stable, trading mostly in the $65-$75 range due to ample supply and a more balanced global demand outlook. The divergence between the booming metals market and the stable energy market highlighted the shifting priorities of the global economy toward technology and sustainability, providing a powerful tailwind for diversified commodity strategies that were overweight in metals."
CURRENCIES;11;2025;The US dollar is expected to maintain strength into early 2025, supported by resilient US growth, tariff-driven volatility, and a less dovish Federal Reserve, with EURUSD likely to test parity (1.00) and USDJPY trading around 150-160. However, the dollar's rally may peak by mid-year as twin deficits and expensive valuations weigh, with forecasts for EURUSD to appreciate to 1.10-1.15 by year-end. The yen is poised for relative strength amid BOJ policy normalization, while emerging-market currencies linked to China may weaken toward 7.5 CNY/USD. Key risks include the trajectory of US inflation, Fed policy shifts, and evolving trade tensions. Investors should consider tactical dollar exposure early in the year, reducing positions as headwinds emerge.;The US dollar experienced a period of significant strength in early 2025, driven by a combination of rising interest rate differentials and 'safe haven' demand amid the uncertainty surrounding new trade policies. The EURUSD pair tested parity during the first half of the year as the European economy struggled and the ECB cut rates more aggressively than the Fed. However, the dollar's rally began to lose steam in the second half as the market priced in the full impact of US fiscal expansion and the Federal Reserve's own easing cycle. The Japanese yen saw a notable recovery from its multi-decade lows, supported by the Bank of Japan's continued policy normalization and a narrowing of the yield gap with the US. Emerging market currencies faced a more challenging environment, particularly those with high exposure to global trade, as they grappled with the impact of tariffs and a volatile dollar. By the end of 2025, the currency market reflected a more balanced but highly fragmented global economy, where domestic policy choices and trade relations were the primary drivers of exchange rate movements.
ALTERNATIVE ASSETS;12;2025;In 2025, private markets are expected to deliver steady to improved returns, with private credit poised to grow by 5-7% supported by resilient fundamentals and increased M&A activity. Real estate and infrastructure sectors offer income yields in the 4-6% range, benefiting from constrained supply and structural demand drivers like electrification and data centers. Hedge funds remain a key diversifier amid anticipated volatility, with strategies such as macro and equity long/short favored. Key risks include potential higher-for-longer interest rates, regulatory shifts, and geopolitical uncertainties that may pressure valuations and deal flow. Investors should adopt a multi-manager, multi-asset approach emphasizing private credit, real assets, and hedge funds to enhance income, diversification, and downside protection.;"Alternative assets saw a measured but positive recovery in 2025 as the stabilization of interest rates and improving economic sentiment provided a more favorable backdrop for private markets. Private credit continued to be a preferred asset class, gaining further market share from traditional banks and offering attractive yields in the 8-10% range. Private equity activity also picked up, as the narrowing gap between buyer and seller expectations led to an increase in deal flow and exits. Real estate, however, remained a more challenging sector; while logistics and data centers continued to thrive, the office and retail segments struggled with the ongoing structural shifts in demand and the burden of higher-for-longer financing costs. Hedge funds played a crucial role as diversifiers, with macro and multi-strategy funds performing well by navigating the volatility in rates and commodities. Overall, 2025 demonstrated the resilience of alternative strategies in a complex macro environment, rewarding investors who focused on niche opportunities and operational value creation rather than simple financial engineering."
MULTI ASSET;13;2025;For 2025, the consensus favors a balanced multi-asset approach with a 60-70% allocation to equities, overweighting US large caps and select emerging markets like India and Indonesia, while maintaining 20-30% in fixed income, emphasizing investment grade and short-duration credit. Cash holdings are expected to be minimal, near zero to 5%, to avoid performance drag. Equities are projected to deliver mid-to-high single-digit returns, with US equities possibly gaining around 10%, while core fixed income may return 5-7%. Key risks include elevated equity valuations, potential volatility spikes, geopolitical tensions, and uncertain US-China trade dynamics. Investors should focus on diversification, income generation, and tactical use of alternatives and hedging to manage downside risks.;Diversified multi-asset portfolios delivered exceptionally strong results in 2025, benefiting from the simultaneous rally in both US equities and precious metals. A standard 60/40 portfolio would have achieved one of its best performances in recent years, as the 17.9% return from the S&P 500 was complemented by solid gains in the bond market and a spectacular surge in gold and silver. This performance validated the importance of broad diversification in an environment marked by significant policy shifts and trade-related volatility. Investors who included a meaningful allocation to commodities and alternative assets were particularly well-rewarded, as these positions provided a crucial hedge against the inflationary pressures of new tariffs. The year also saw a continued trend toward active asset allocation, as the divergence between regional economies and sectors required a more tactical approach to capture gains and manage risks. By the end of 2025, the multi-asset strategy had proven its worth as a robust framework for navigating a world of increasingly complex and interconnected market drivers.
AI;14;2025;In 2025, AI is set to underpin a broad-based investment cycle, with global capital expenditure expected to exceed $200 billion among hyperscalers alone, fueling growth beyond traditional tech sectors. Productivity gains will extend across communication services, industrials, energy infrastructure, and financials, supporting profit margin expansion of 3-5% in key industries. Infrastructure investments in data centers, energy transmission, and utilities are poised to benefit from sustained demand, with AI-related capex growth likely to remain in the mid-teens percentage range. Risks include regulatory shifts, geopolitical tensions, and potential overvaluation in frontier AI applications. A diversified overweight to US large caps and sectors embracing AI adoption offers a balanced, actionable approach amid evolving market dynamics.;The artificial intelligence boom remained the primary driver of global equity market gains and corporate strategy in 2025. The year saw a massive acceleration in capital expenditure, with the world's largest technology companies investing hundreds of billions of dollars in AI infrastructure, semiconductors, and data centers. This 'AI trade' extended beyond the initial winners to include a broader range of industries, such as utilities and industrials, which benefited from the massive energy and infrastructure requirements of the new technology. While questions about the long-term return on investment and the potential for an 'AI bubble' became more prominent toward the end of the year, the immediate impact on corporate productivity and profit margins was undeniable. Companies that successfully integrated AI into their operations saw significant improvements in efficiency and customer engagement. The year 2025 will be remembered as the point where AI transitioned from a speculative theme to a fundamental structural force, reshaping the competitive landscape of the global economy and driving a new era of technological exceptionalism.
RISKS;15;2025;The base case for 2025 anticipates modest global growth around 2.0%-2.5%, with US 10-year yields settling near 3.75%-4.5%, reflecting a cautious monetary stance amid inflation forecasts of 2.75%-3.25%. Markets currently price a high 90% probability of a US soft landing, but risks remain elevated. Key threats include escalating tariffs—potentially up to 60% on Chinese imports—and geopolitical tensions that could disrupt trade and supply chains, weighing on global growth and corporate earnings. Policy uncertainty, particularly regarding US fiscal deficits and bond market tolerance, may drive volatility. Investors should prioritize active sector selection, hedge against tail risks, and balance equity exposure with fixed income diversification to navigate potential mid-year market corrections and inflation surprises.;The risk landscape in 2025 was dominated by the escalation of trade tensions and the structural shift toward protectionism. The imposition of significant US tariffs and the subsequent retaliatory measures from global partners created a more fragmented and costly trading environment, which acted as a persistent headwind for global growth and a tailwind for inflation. Another key risk was the sustainability of the AI-driven tech rally, as investors began to scrutinize the massive capital expenditures and the timing of actual productivity gains. Geopolitical risks also remained elevated, with ongoing conflicts in the Middle East and Ukraine continuing to threaten energy supplies and regional stability. Furthermore, the growing US fiscal deficit and the rising cost of debt service emerged as a long-term concern for the bond market, contributing to the volatility in yields. Despite these challenges, the global economy demonstrated a surprising ability to absorb shocks, but the year ended with a clear sense that the risks were becoming more structural and less cyclical, requiring a more cautious and selective approach to risk management.
BASE CASE;1;2026;The global economy is expected to grow steadily around 2.6% to 3.1% in 2026, supported primarily by sustained AI-driven capital investment and accommodative fiscal and monetary policies. The US is projected to expand between 2.25% and 2.8%, benefiting from easing tariff pressures, tax incentives, and a softening labor market. While growth momentum may moderate compared to 2025, recession risks remain low, though geopolitical tensions, trade uncertainties, and uneven regional performance pose notable downside risks. Investors should adopt a cautiously constructive stance, favoring equities and credit with diversification across sectors and regions, while remaining vigilant to volatility and potential policy shifts that could impact inflation and asset valuations.;
GROWTH;2;2026;The global economy is set for moderate growth in 2026, with consensus forecasts centering on 3.0% to 3.5% global GDP expansion. The US is expected to lead developed markets with real GDP growth between 2.1% and 2.5%, supported by fiscal stimulus, AI-driven investment, and easing monetary policy. The euro zone is projected to grow around 1.0% to 1.4%, aided by fiscal spending and a gradual recovery in domestic demand, while China’s growth is anticipated to moderate to approximately 4.0% to 4.8%, constrained by structural headwinds and real estate challenges. Key risks include inflation remaining above target, geopolitical tensions, and the uneven pace of AI adoption, which may deepen economic divergence. Investors should focus on sectors benefiting from AI and fiscal tailwinds while monitoring inflation and policy shifts closely.;
INFLATION;3;2026;The consensus for 2026 anticipates US inflation to remain persistently above the Federal Reserve’s 2% target, hovering around 3% core PCE, driven by tariff-related price pressures and labor market tightness. Growth is expected to moderate to roughly 1.5%-2.1%, with a 20-35% recession risk reflecting downside uncertainties. In contrast, the euro zone and UK are projected to see inflation closer to or below 2%, supporting ECB and BoE rate cuts to approximately 1.5% and 3%, respectively. Key risks include potential inflation spikes from wage pressures and tariff dynamics, as well as geopolitical and policy shifts. Investors should position for a gradual Fed easing cycle limited by sticky inflation, favoring credit over sovereign bonds and monitoring inflation break-evens in Europe.;
MONETARY POLICY;4;2026;In 2026, central banks are expected to pursue a broadly easing monetary policy stance, though with significant regional divergence. The Federal Reserve is likely to cut rates modestly by 50-75 basis points, targeting a terminal range near 3.0-3.25%, reflecting persistent inflation around 2.5-3.0% and a cautious labor market. The ECB and Bank of England may deliver limited easing, with the ECB holding rates near 1.5% and the BOE cutting to approximately 3.0-3.25%, amid subdued growth near 1%. Conversely, the Bank of Japan is poised to tighten, potentially raising rates to 1.25%, driven by domestic inflation and fiscal stimulus. Key risks include inflation stickiness, political pressures on central bank independence, and uncertainty over Fed leadership, warranting a selective, duration-aware investment approach.;
FISCAL;5;2026;In 2026, global fiscal policy is expected to remain a key driver of moderate economic growth, with the US GDP forecasted to expand around 2.3%-2.4%, supported by the 'One Big Beautiful Bill' and tax incentives. The euro zone is projected to grow between 1.0%-1.3%, underpinned by significant fiscal stimulus in Germany and EU recovery funds, while Japan pursues expansionary fiscal measures contributing to above-trend growth. Inflation is anticipated to moderate near 1.8% in Europe and remain above the Fed’s 2% target in the US, prolonging a cautious monetary stance. Key risks include political uncertainty in France, China’s limited fiscal easing amid housing challenges, and potential bond market volatility from rising deficits and interest costs. Investors should monitor fiscal trajectories alongside monetary policy shifts, focusing on sectors benefiting from infrastructure and AI-driven fiscal investments.;
TARIFFS;6;2026;The consensus expects US tariff rates to remain elevated in 2026, with 2025 marking the peak for the average effective tariff rate. This supports a baseline US GDP growth forecast of 1.6% to 2.2%, tempered by tariff-related inflationary pressures keeping core PCE above 3%. Tariff revenues near $300 billion annually are likely to persist despite potential Supreme Court challenges, as alternative legal and political measures are expected to maintain trade barriers. Key risks include geopolitical tensions and policy uncertainty, particularly around the Supreme Court ruling and immigration enforcement. Investors should consider the inflationary backdrop and sectoral winners like US domestic producers benefiting from protected input costs, while monitoring evolving fiscal and trade policy dynamics.;
AI;7;2026;The AI revolution is set to underpin a sustained bull market in 2026, with the S&P 500 base case at 7,750 and a 30% probability of a speculative bubble pushing it to 9,000. Productivity gains are expected to accelerate, contributing to GDP growth and supporting earnings growth near 20% for AI leaders. However, elevated valuations, increasing AI-related capex—often debt-financed—and potential overcapacity introduce risks of volatility and market corrections. Investors should focus on diversified exposure across AI builders, adopters, and adjacent sectors like industrials and utilities, while monitoring execution and financial resilience. Key uncertainties include macroeconomic shifts, inflation pressures, and the pace of AI monetization, warranting a balanced, selective investment approach.;
